label,lon,lat
00567-2009-01,162526.9,542649.9
00567-2009-02,162501.5,542639.1
00567-2009-03,162447.3,542647.5
00567-2009-04,162506.1,542656.9
00567-2009-05,162537.3,542658.9
00567-2009-06,162544.8,542709.2
00567-2009-07,162452.6,542710.2
00567-2009-08,162527.3,542717.7
00567-2009-09,162505.9,542719.8
00567-2009-10,162520.1,542702.4

